# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# Which channels drive the most conversions?
# Start date: 20220129
# End date: 20230129
Default channel group,Conversions
Organic Search,15238.71575
Paid Search,7970.363212
Direct,2999
Organic Social,1505.144646
Referral,1461.769686
Email,1044.508931
Paid Social,920.349988
Unassigned,242.53093
Display,167.555387
Cross-network,115.839248
Mobile Push Notifications,5.222222
Paid Other,1

#  


# 


# What touchpoints do customers take to convert?
# Start date: 20220129
# End date: 20230129
Default channel group,Conversions,Last click path attributed conversions
"[""Organic Search"",""Organic Search""]",7854,NaN
"[""Paid Search""]",5881,NaN
"[""Direct""]",2999,NaN
"[""Organic Search"",""Organic Search"",""Organic Search""]",1836,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",1179,NaN
"[""Paid Search"",""Paid Search""]",1077,NaN
"[""Organic Search""]",906,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",748,NaN
"[""Organic Social"",""Organic Social""]",589,NaN
"[""Email""]",551,NaN
"[""Paid Social"",""Paid Social""]",469,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",466,NaN
"[""Referral"",""Referral""]",465,NaN
"[""Paid Search"",""Paid Search"",""Paid Search""]",310,NaN
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",300,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",283,NaN
"[""Referral""]",228,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",217,NaN
