# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# 
# Start date: 20220129
# End date: 20230129
Nth day,United States,Canada,India
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,0,0,0
0040,0,0,0
0041,0,0,0
0042,0,0,0
0043,0,0,0
0044,0,0,0
0045,0,0,0
0046,0,0,0
0047,0,0,0
0048,0,0,0
0049,0,0,0
0050,0,0,0
0051,0,0,0
0052,0,0,0
0053,0,0,0
0054,0,0,0
0055,0,0,0
0056,0,0,0
0057,0,0,0
0058,0,0,0
0059,0,0,0
0060,0,0,0
0061,0,0,0
0062,0,0,0
0063,0,0,0
0064,0,0,0
0065,0,0,0
0066,0,0,0
0067,0,0,0
0068,0,0,0
0069,0,0,0
0070,0,0,0
0071,0,0,0
0072,0,0,0
0073,0,0,0
0074,0,0,0
0075,0,0,0
0076,0,0,0
0077,0,0,0
0078,0,0,0
0079,0,0,0
0080,0,0,0
0081,0,0,0
0082,0,0,0
0083,0,0,0
0084,0,0,0
0085,0,0,0
0086,0,0,0
0087,0,0,0
0088,0,0,0
0089,0,0,0
0090,0,0,0
0091,0,0,0
0092,0,0,0
0093,0,0,0
0094,0,0,0
0095,0,0,0
0096,0,0,0
0097,0,0,0
0098,0,0,0
0099,0,0,0
0100,0,0,0
0101,0,0,0
0102,0,0,0
0103,0,0,0
0104,0,0,0
0105,0,0,0
0106,0,0,0
0107,0,0,0
0108,0,0,0
0109,0,0,0
0110,0,0,0
0111,0,0,0
0112,0,0,0
0113,0,0,0
0114,0,0,0
0115,0,0,0
0116,0,0,0
0117,0,0,0
0118,0,0,0
0119,0,0,0
0120,0,0,0
0121,0,0,0
0122,0,0,0
0123,0,0,0
0124,0,0,0
0125,0,0,0
0126,0,0,0
0127,0,0,0
0128,0,0,0
0129,0,0,0
0130,0,0,0
0131,0,0,0
0132,0,0,0
0133,0,0,0
0134,0,0,0
0135,0,0,0
0136,0,0,0
0137,0,0,0
0138,290,0,0
0139,438,0,0
0140,424,0,0
0141,442,0,0
0142,469,0,0
0143,458,0,0
0144,952,0,0
0145,611,0,0
0146,509,0,0
0147,448,0,0
0148,483,0,0
0149,512,0,0
0150,490,0,0
0151,455,0,0
0152,416,0,0
0153,407,0,0
0154,397,0,0
0155,395,0,0
0156,358,0,0
0157,424,0,0
0158,439,0,0
0159,1155,0,0
0160,531,0,0
0161,381,0,0
0162,406,0,0
0163,513,0,0
0164,530,0,0
0165,490,0,0
0166,495,0,0
0167,501,0,0
0168,421,0,0
0169,474,0,0
0170,562,0,0
0171,483,0,0
0172,889,0,0
0173,531,0,0
0174,475,0,0
0175,382,0,0
0176,499,0,0
0177,524,0,0
0178,510,0,0
0179,471,0,0
0180,461,0,0
0181,459,0,0
0182,436,0,0
0183,487,0,0
0184,465,0,0
0185,708,0,0
0186,402,0,0
0187,433,0,0
0188,377,0,0
0189,341,0,0
0190,381,0,0
0191,380,0,0
0192,414,0,0
0193,422,0,0
0194,412,0,0
0195,537,0,0
0196,427,0,0
0197,453,0,0
0198,399,0,0
0199,441,0,0
0200,361,0,0
0201,319,0,0
0202,283,0,0
0203,317,0,0
0204,405,0,0
0205,400,0,0
0206,857,0,0
0207,908,0,0
0208,430,0,0
0209,356,0,0
0210,302,0,0
0211,297,0,0
0212,412,0,0
0213,343,0,0
0214,373,0,0
0215,928,0,0
0216,411,0,0
0217,434,0,0
0218,443,0,0
0219,479,0,0
0220,465,0,0
0221,400,0,0
0222,389,0,0
0223,336,0,0
0224,319,0,0
0225,380,0,0
0226,404,0,0
0227,435,0,0
0228,402,0,0
0229,416,0,0
0230,355,0,0
0231,357,0,0
0232,393,0,0
0233,413,0,0
0234,418,0,0
0235,375,0,0
0236,877,0,0
0237,456,0,0
0238,327,0,0
0239,357,0,0
0240,403,0,0
0241,1980,0,0
0242,1193,0,0
0243,356,0,0
0244,343,0,0
0245,348,0,0
0246,347,0,0
0247,387,0,0
0248,431,0,0
0249,612,0,0
0250,532,0,0
0251,401,0,0
0252,341,0,0
0253,401,0,0
0254,834,0,0
0255,459,0,0
0256,443,0,0
0257,452,0,0
0258,328,0,0
0259,881,0,0
0260,691,0,0
0261,529,0,0
0262,427,0,0
0263,369,0,0
0264,418,0,0
0265,352,0,0
0266,318,0,0
0267,349,0,0
0268,497,0,0
0269,447,0,0
0270,451,0,0
0271,481,0,0
0272,794,0,0
0273,383,0,0
0274,395,0,0
0275,374,0,0
0276,364,0,0
0277,424,0,0
0278,442,0,0
0279,387,0,0
0280,1185,0,46
0281,528,0,0
0282,456,0,0
0283,375,0,0
0284,396,0,0
0285,385,0,0
0286,404,0,0
0287,410,0,0
0288,399,0,0
0289,416,0,0
0290,339,0,0
0291,366,0,0
0292,365,0,0
0293,306,0,0
0294,365,0,0
0295,388,0,0
0296,365,0,0
0297,335,0,0
0298,362,0,0
0299,324,0,0
0300,505,0,0
0301,438,0,0
0302,533,0,0
0303,1157,0,0
0304,548,0,0
0305,846,37,0
