# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# 
# Start date: 20220129
# End date: 20230129
Nth day,booking_engine_entrances,food_beverage_kpi,purchase,meetings_rfp
0000,0,0,0,0
0001,0,0,0,0
0002,0,0,0,0
0003,0,0,0,0
0004,0,0,0,0
0005,0,0,0,0
0006,0,0,0,0
0007,0,0,0,0
0008,0,0,0,0
0009,0,0,0,0
0010,0,0,0,0
0011,0,0,0,0
0012,0,0,0,0
0013,0,0,0,0
0014,0,0,0,0
0015,0,0,0,0
0016,0,0,0,0
0017,0,0,0,0
0018,0,0,0,0
0019,0,0,0,0
0020,0,0,0,0
0021,0,0,0,0
0022,0,0,0,0
0023,0,0,0,0
0024,0,0,0,0
0025,0,0,0,0
0026,0,0,0,0
0027,0,0,0,0
0028,0,0,0,0
0029,0,0,0,0
0030,0,0,0,0
0031,0,0,0,0
0032,0,0,0,0
0033,0,0,0,0
0034,0,0,0,0
0035,0,0,0,0
0036,0,0,0,0
0037,0,0,0,0
0038,0,0,0,0
0039,0,0,0,0
0040,0,0,0,0
0041,0,0,0,0
0042,0,0,0,0
0043,0,0,0,0
0044,0,0,0,0
0045,0,0,0,0
0046,0,0,0,0
0047,0,0,0,0
0048,0,0,0,0
0049,0,0,0,0
0050,0,0,0,0
0051,0,0,0,0
0052,0,0,0,0
0053,0,0,0,0
0054,0,0,0,0
0055,0,0,0,0
0056,0,0,0,0
0057,0,0,0,0
0058,0,0,0,0
0059,0,0,0,0
0060,0,0,0,0
0061,0,0,0,0
0062,0,0,0,0
0063,0,0,0,0
0064,0,0,0,0
0065,0,0,0,0
0066,0,0,0,0
0067,0,0,0,0
0068,0,0,0,0
0069,0,0,0,0
0070,0,0,0,0
0071,0,0,0,0
0072,0,0,0,0
0073,0,0,0,0
0074,0,0,0,0
0075,0,0,0,0
0076,0,0,0,0
0077,0,0,0,0
0078,0,0,0,0
0079,0,0,0,0
0080,0,0,0,0
0081,0,0,0,0
0082,0,0,0,0
0083,0,0,0,0
0084,0,0,0,0
0085,0,0,0,0
0086,0,0,0,0
0087,0,0,0,0
0088,0,0,0,0
0089,0,0,0,0
0090,0,0,0,0
0091,0,0,0,0
0092,0,0,0,0
0093,0,0,0,0
0094,0,0,0,0
0095,0,0,0,0
0096,0,0,0,0
0097,0,0,0,0
0098,0,0,0,0
0099,0,0,0,0
0100,0,0,0,0
0101,0,0,0,0
0102,0,0,0,0
0103,0,0,0,0
0104,0,0,0,0
0105,0,0,0,0
0106,0,0,0,0
0107,0,0,0,0
0108,0,0,0,0
0109,0,0,0,0
0110,0,0,0,0
0111,0,0,0,0
0112,0,0,0,0
0113,0,0,0,0
0114,0,0,0,0
0115,0,0,0,0
0116,0,0,0,0
0117,0,0,0,0
0118,0,0,0,0
0119,0,0,0,0
0120,0,0,0,0
0121,0,0,0,0
0122,0,0,0,0
0123,0,0,0,0
0124,0,0,0,0
0125,0,0,0,0
0126,0,0,0,0
0127,0,0,0,0
0128,0,0,0,0
0129,0,0,0,0
0130,0,0,0,0
0131,0,0,0,0
0132,0,0,0,0
0133,0,0,0,0
0134,0,0,0,0
0135,0,0,0,0
0136,0,0,0,0
0137,8,3,1,2
0138,101,39,4,1
0139,112,52,4,0
0140,125,71,3,0
0141,145,78,3,0
0142,157,57,4,0
0143,192,62,5,0
0144,160,89,7,3
0145,95,57,5,0
0146,78,89,3,0
0147,105,41,3,0
0148,92,75,8,1
0149,107,60,8,0
0150,99,56,3,0
0151,87,80,2,1
0152,59,37,2,1
0153,70,67,7,1
0154,67,50,2,1
0155,66,44,3,0
0156,71,37,8,1
0157,67,67,4,1
0158,91,65,3,0
0159,103,80,6,0
0160,88,54,6,1
0161,56,7,3,0
0162,53,8,2,0
0163,114,9,3,1
0164,92,20,12,1
0165,60,20,3,0
0166,70,18,4,0
0167,100,23,7,0
0168,66,18,2,0
0169,81,14,7,0
0170,142,7,5,2
0171,96,18,3,0
0172,104,10,13,0
0173,81,15,5,0
0174,97,21,6,0
0175,46,8,2,0
0176,74,23,5,0
0177,78,11,15,0
0178,98,17,8,0
0179,88,20,4,1
0180,92,9,16,0
0181,81,16,10,1
0182,76,30,2,0
0183,68,10,10,0
0184,110,11,10,0
0185,138,12,4,0
0186,91,11,1,0
0187,80,20,2,0
0188,58,25,3,0
0189,60,17,4,0
0190,59,18,2,0
0191,90,5,4,0
0192,69,11,2,0
0193,85,8,2,0
0194,88,8,8,0
0195,61,15,3,1
0196,59,7,6,0
0197,70,4,4,0
0198,80,14,6,0
0199,71,3,5,0
0200,65,3,5,0
0201,63,7,4,0
0202,47,2,3,0
0203,45,1,4,0
0204,72,6,5,2
0205,82,2,5,1
0206,389,2,5,0
0207,313,3,11,1
0208,152,1,4,2
0209,143,1,3,0
0210,118,1,7,0
0211,102,2,2,0
0212,139,2,10,1
0213,457,1,3,0
0214,143,1,10,0
0215,169,1,5,0
0216,135,4,7,0
0217,129,4,3,0
0218,139,6,4,0
0219,153,1,6,1
0220,145,1,6,0
0221,139,4,8,0
